FRTIPCLFDESA01ATM-201^ATM~-~AT201	10.139.6.32	16109
FRTIPCLFDESA01ATM-202^ATM~-~AT202	10.139.6.32	16108
FRTIPCLFDESA01ATM-203^ATM~-~AT203	10.139.6.32	16110
FRTIPCLFDESA01ATM-204^ATM~-~AT204	10.139.6.32	16111
FRTIPCLFDESA01ATM-205^ATM~-~AT205	10.139.6.32	16112
FRTIPCLFDESA01ATM-206^ATM~-~AT206	10.139.6.32	16113
FRTIPCLFDESA01ATM-207^ATM~-~AT207	10.139.6.32	16114
FRTIPCLFDESA01ATM-208^ATM~-~AT208	10.139.6.32	16115
FRTIPCLFDESA01ATM-209^ATM~-~AT209	10.139.6.32	16116
FRTIPCLFDESA01ATM-210^ATM~-~AT210	10.139.6.32	16117
FRTIPCLFDESA01ATM-211^ATM~-~AT211	10.139.6.32	16118
FRTIPCLFDESA01ATM-212^ATM~-~AT212	10.139.6.32	16119
FRTIPCLFDESA01ATM-213^ATM~-~AT213	10.139.6.32	16120
FRTIPCLFDESA01ATM-302^ATM~-~AT302	10.139.6.32	18996
FRTIPCLFDESA01ATM-400^ATM~-~AT400	10.139.6.32	18999
FRTIPCLFDESA01ATM-500^ATM~-~AT500	10.139.6.32	17500
FRTIPCLFDESA01ATM-501^ATM~-~AT501	10.139.6.32	17501
FRTIPCLFDESA01ATM-502^ATM~-~AT502	10.139.6.32	17502
FRTIPCLFDESA01ATM-503^ATM~-~AT503	10.139.6.32	17503
FRTIPCLFDESA01ATM-504^ATM~-~AT504	10.139.6.32	17504
FRTIPCLFDESA01ATM-505^ATM~-~AT505	10.139.6.32	17505
FRTIPCLFDESA01ATM-506^ATM~-~AT506	10.139.6.32	17506
FRTIPCLFDESA01ATM-507^ATM~-~AT507	10.139.6.32	17507
FRTIPCLFDESA01ATM-508^ATM~-~AT508	10.139.6.32	17508
FRTIPCLFDESA01ATM-509^ATM~-~AT509	10.139.6.32	17509
FRTIPCLFDESA01ATM-510^ATM~-~AT510	10.139.6.32	17510
FRTIPCLFDESA01ATM-511^ATM~-~AT511	10.139.6.32	17511
FRTIPCLFDESA01ATM-512^ATM~-~AT512	10.139.6.32	17512
FRTIPCLFDESA01ATM-513^ATM~-~AT513	10.139.6.32	17513
FRTIPCLFDESA01ATM-514^ATM~-~AT514	10.139.6.32	17514
FRTIPCLFDESA01ATM-515^ATM~-~AT515	10.139.6.32	17515
FRTIPCLFDESA01ATM-516^ATM~-~AT516	10.139.6.32	17516
FRTIPCLFDESA01ATM-517^ATM~-~AT517	10.139.6.32	17517
FRTIPCLFDESA01ATM-518^ATM~-~AT518	10.139.6.32	17518
FRTIPCLFDESA01ATM-519^ATM~-~AT519	10.139.6.32	17519
FRTIPCLFDESA01ATM-520^ATM~-~AT520	10.139.6.32	17520
FRTIPCLFDESA01ATM-521^ATM~-~AT521	10.139.6.32	17521
FRTIPCLFDESA01ATM-522^ATM~-~AT522	10.139.6.32	17522
FRTIPCLFDESA01ATM-523^ATM~-~AT523	10.139.6.32	17523
FRTIPCLFDESA01ATM-524^ATM~-~AT524	10.139.6.32	17524
FRTIPCLFDESA01ATM-525^ATM~-~AT525	10.139.6.32	17525
FRTIPCLFDESA01ATM-526^ATM~-~AT526	10.139.6.32	17526
FRTIPCLFDESA01ATM-527^ATM~-~AT527	10.139.6.32	17527
FRTIPCLFDESA01ATM-528^ATM~-~AT528	10.139.6.32	17528
FRTIPCLFDESA01ATM-529^ATM~-~AT529	10.139.6.32	17529
FRTIPCLFDESA01ATM-530^ATM~-~AT530	10.139.6.32	17530
FRTIPCLFDESA01ATM-900^ATM~-~AT900	10.139.6.32	17900
FRTIPCLFDESA01ATM-901^ATM~-~AT901	10.139.6.32	17901
FRTIPCLFDESA01ATM-902^ATM~-~AT902	10.139.6.32	17902
FRTIPCLFDESA01ATM-903^ATM~-~AT903	10.139.6.32	17903
FRTIPCLFDESA01ATM-904^ATM~-~AT904	10.139.6.32	17904
FRTIPCLFDESA01ATM-905^ATM~-~AT905	10.139.6.32	17905
FRTIPCLFDESA01ATM-906^ATM~-~AT906	10.139.6.32	17906
FRTIPCLFDESA01ATM-907^ATM~-~AT907	10.139.6.32	17907
FRTIPCLFDESA01ATM-908^ATM~-~AT908	10.139.6.32	17908
FRTIPCLFDESA01ATM-909^ATM~-~AT909	10.139.6.32	17909
FRTIPCLFDESA01ATM-910^ATM~-~AT910	10.139.6.32	17910
