CHK02^ADMIN~Servidor~de~administración	10.139.8.136	2001
CHK03^APACHEDFT~HTTP~server~basado~en~Apache~de~ejemplo~suministrado~por~IBM	10.139.8.136	80
CHK04^AZ7NTW~WebService~AZ7~NTW~MEXICO	10.139.8.136	10064
CHK05^AZ7WSS~	10.139.8.136	40100
CHK06^AZMONITFR~AZMONITOR~FRONT	10.139.8.136	18002
CHK07^AZMONITOFL~AZ-MONITOR~FALABELLA~CHILE	10.139.8.136	30031
CHK08^AZMONITOMX~AZ-MONITOR~MEXICO	10.139.8.136	4600
CHK09^AZMONITOR~Servidor~para~Az-Monitor	10.139.8.136	18002
CHK10^AZMONITSW~AZMONITOR~SWITCH	10.139.8.136	18001
CHK11^AZWSQAMX~	10.139.8.136	10096
CHK12^IWADFT~	10.139.8.136	2020
CHK13^WQLIB85~	10.139.8.136	12331
CHK14^WSTEST~	10.139.8.136	10020
CHK15^WS_AZ7COR2~	10.139.8.136	40013
CHK16^WS_AZ7PER~Servidor~de~servicios~Web~creado~por~el~asistente~Crear~servidor~de~servicios~Web.	10.139.8.136	40001
