SWTIPCLFCERT01VSP-01^VSP~-~BFCL~-~Visa~Autorizador	11.11.11.1	10152
SWTIPCLFCERT01TLC-01^TLC~-~BFCL~-~Autorizador~TELCOS	10.140.40.164	8887
SWTIPCLFCERT01TLC-02^TLC~-~BFCL~-~Autorizador~TELCOS	108.10.0.32	7629
SWTIPCLFCERT01TFS-01^TFS~-~BFCL~-~Autorizador~Transferencias~IFO	10.233.21.40	20010
SWTIPCLFCERT01STI-01^STI~-~BFCL~-~SATIF	108.40.0.59	5692
SWTIPCLFCERT01SAT-01^SAT~-~Autorizador~Sistemas~Admin~de~Tarjetas	10.140.40.13	5351
SWTIPCLFCERT01RBE-01^RBE~-~BFCL~-~RedBanc~ISO	163.250.239.100	8059
SWTIPCLFCERT01PYT-01^PYT~-~CORP~-~Autorizador~Paytrue	10.139.0.130	6111
SWTIPCLFCERT01NRT-01^NRT~-~Near~Real~Time~Fraude	10.139.8.136	32001
SWTIPCLFCERT01MCT-01^MCT~-~BFCL~-Tokenización~MasterCard~Google~PAY	98.200.14.229	6037
SWTIPCLFCERT01MCT-02^MCT~-~BFCL~-Tokenización~MasterCard~Google~PAY	98.200.14.228	6037
SWTIPCLFCERT01MCT-03^MCT~-~BFCL~-Tokenización~MasterCard~Google~PAY	10.98.15.55	6037
SWTWSCLFCERT01KF3-KF3-01^KF3-PRODUCER2~Kafka~CDLV	http://bootstrap.cdlv.eventmesh.falabella.cl:30032
SWTWSCLFCERT01KF2-KF2-01^KF2-PRODUCER1~Kafka~DCC	http://bootstrap.dcc.eventmesh.falabella.cl:30032
SWTWSCLFCERT01KF1-KF1-01^KF1-KEY~Valult	https://vault.fif.tech:8200
SWTIPCLFCERT01GNG-01^GNG~-~Autorizador~Gogonogo	10.217.123.47	5003
SWTIPCLFCERT01GNG-02^GNG~-~Autorizador~Gogonogo	10.217.123.47	5002
SWTIPCLFCERT01FDL-01^FDL~-~Sistema~Fidelización	108.40.0.59	5690
SWTIPCLFCERT01FDL-02^FDL~-~Sistema~Fidelización	108.40.0.59	5692
SWTIPCLFCERT01FDL-03^FDL~-~Sistema~Fidelización	108.40.0.58	5696
SWTIPCLFCERT01FDL-04^FDL~-~Sistema~Fidelización	108.40.0.58	5703
SWTIPCLFCERT01FCF-01^FCF~-~BFC~-~Flexcube~ISO~BUS	172.20.249.117	9011
SWTIPCLFCERT01FCE-01^FCE~-~BFC~-~Flexcube~ISO~BUS	172.20.249.117	9006
SWTIPCLFCERT01FCD-01^FCD~-~BFC~-~Flexcube~ISO~BUS	172.20.249.117	9004
SWTIPCLFCERT01FCC-01^FCC~-~BFCL~-~FlexCube~ISO~BCO	10.140.57.134	9101
SWTIPCLFCERT01FCC-02^FCC~-~BFCL~-~FlexCube~ISO~BCO	10.140.57.134	9100
SWTIPCLFCERT01FCC-03^FCC~-~BFCL~-~FlexCube~ISO~BCO	10.140.57.134	9103
SWTIPCLFCERT01FC2-01^FC2~-~BFCL~-~FlexCube~ISO~CORP	10.140.57.134	9101
SWTIPCLFCERT01FCC-04^FCC~-~BFCL~-~FlexCube~ISO~BCO	10.140.57.134	9102
SWTIPCLFCERT01FCB-01^FCB~-~BFC~-~Flexcube~ISO~BUS	172.20.249.48	9000
SWTWSCLFCERT01CWS-112-01^CWS-Web~Service~FLCOSCC	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_FLCOSCCWS?wsdl
SWTWSCLFCERT01CWS-111-01^CWS-Web~Service~OPALINM	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_OPALINMWS?wsdl
SWTWSCLFCERT01AES-110-01^AES-API~AES~Cipher	http://fcert01.falabella.com:4000/api/cipher
SWTWSCLFCERT01CWS-107-01^CWS-Cons.~Perfil~-~FLCLCCT	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_FLCLCCTWS?wsdl
SWTWSCLFCERT01SFC-105-01^SFC~Anulación~de~Anula.Parcial	https://sfcfalabellaqa.procesadoraindra.local/axis2SFCChile/services/SFC_P7FA2801WS.SFC_P7FA2801WSHttpsSoap12Endpoint/
SWTWSCLFCERT01CWS-103-01^CWS~-~Sat~Webservice~SuperAvance~Plus	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_FLALSAPWS?wsdl
SWTWSCLFCERT01CWS-102-01^CWS~-~Sat~Webservice~Prepago~de~EECC	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_FLALPREWS?wsdl
SWTWSCLFCERT01CWS-101-01^CWS~-~Sat~Webservice~Refinanciamiento	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_FLALREEWS?wsdl
SWTWSCLFCERT01CWS-092-01^CWS~-~Sat~Webservice~Alta~Compra~Backoffice	https://axissatqa1.bancofalabella.cl/axis2/services/SAT_OPALOPCWS?wsdl
SWTWSCLFCERT01ABR-079-01^ABR~-~CORP~-~ABR~Risk~Assessment	https://integracion-bfcl-qa.fif.tech/fraud-and-aml-risks/v1/customer/transaction-risk-assessment
